PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-010"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",0.087,0.548,0.087,0.548,0.000,0.548,0,,76,N,,,30000,28.00,0
2,1.000,"Mount",0.231,0.501,0.231,0.501,0.231,0.501,27,E,70,N,,,30037,28.25,0
3,2.000,"Mount",0.258,0.779,0.258,0.779,0.258,0.779,30,E,109,N,,,30074,28.50,0
4,3.000,"Mount",0.244,0.479,0.244,0.479,0.244,0.479,29,E,67,N,,,30111,28.75,0
5,4.000,"Mount",0.410,0.507,0.410,0.507,0.410,0.507,49,E,70,N,,,30148,28.99,0
6,5.000,"Mount",0.534,0.566,0.534,0.566,0.534,0.566,64,E,79,N,,,30185,29.24,0
7,6.000,"Mount",0.546,0.705,0.546,0.705,0.546,0.705,65,E,98,N,,,30222,29.48,0
8,7.000,"Mount",0.785,0.651,0.785,0.651,0.785,0.651,94,E,91,N,,,30259,29.71,0
9,8.000,"Mount",0.491,0.319,0.491,0.319,0.491,0.319,58,E,44,N,,,30296,29.95,0
10,9.000,"Mount",0.547,0.633,0.547,0.633,0.547,0.633,65,E,88,N,,,30333,30.17,0
11,10.000,"Mount",0.692,0.623,0.692,0.623,0.692,0.623,83,E,87,N,,,30370,30.40,0
12,11.000,"Mount",0.663,0.535,0.663,0.535,0.663,0.535,79,E,74,N,,,30407,30.61,0
13,12.000,"Mount",0.566,0.644,0.566,0.644,0.566,0.644,67,E,90,N,,,30444,30.82,0
14,13.000,"Mount",0.516,0.558,0.516,0.558,0.516,0.558,61,E,78,N,,,30481,31.03,0
15,14.000,"Mount",0.557,0.629,0.557,0.629,0.557,0.629,66,E,88,N,,,30518,31.22,0
16,15.000,"Mount",0.509,0.724,0.509,0.724,0.509,0.724,61,E,101,N,,,30555,31.41,0
17,16.000,"Mount",0.521,0.561,0.521,0.561,0.521,0.561,62,E,78,N,,,30592,31.59,0
18,17.000,"Mount",0.262,0.379,0.262,0.379,0.262,0.379,31,E,53,N,,,30629,31.76,0
19,18.000,"Mount",0.462,0.220,0.462,0.220,0.462,0.220,55,E,30,N,,,30666,31.92,0
20,19.000,"Mount",0.243,0.245,0.243,0.245,0.243,0.245,29,E,34,N,,,30703,32.07,0
21,20.000,"Mount",0.356,0.237,0.356,0.237,0.356,0.237,42,E,33,N,,,30740,32.21,0
22,21.000,"Mount",0.388,0.142,0.388,0.142,0.388,0.000,46,E,0,,,,30777,32.34,0
23,22.000,"Mount",0.248,0.047,0.248,0.047,0.248,0.000,29,E,0,,,,30814,32.46,0
24,23.000,"Mount",0.283,0.295,0.283,0.295,0.283,0.295,33,E,41,N,,,30851,32.56,0
25,24.000,"Mount",0.237,0.231,0.237,0.231,0.237,0.231,28,E,32,N,,,30888,32.66,0
26,25.000,"Mount",0.457,-0.151,0.457,-0.151,0.457,0.000,54,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.266,-0.088,0.266,-0.088,0.266,0.000,31,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.559,-0.105,0.559,-0.105,0.559,0.000,67,E,0,,,,30999,32.88,0
29,28.000,"Mount",0.452,-0.119,0.452,-0.119,0.452,0.000,54,E,0,,,,31036,32.93,0
30,29.000,"Mount",0.658,-0.102,0.658,-0.102,0.658,0.000,78,E,0,,,,31073,32.96,0
31,30.000,"Mount",0.364,-0.380,0.364,-0.380,0.364,-0.380,43,E,53,S,,,31110,32.99,0
32,31.000,"Mount",0.607,-0.131,0.607,-0.131,0.607,0.000,72,E,0,,,,31147,33.00,0
33,32.000,"Mount",0.532,-0.374,0.532,-0.374,0.532,-0.374,63,E,52,S,,,31184,33.00,0
34,33.000,"Mount",0.500,-0.272,0.500,-0.272,0.500,-0.272,59,E,38,S,,,31221,32.98,0
35,34.000,"Mount",0.762,-0.207,0.762,-0.207,0.762,-0.207,91,E,28,S,,,31258,32.96,0
36,35.000,"Mount",0.666,-0.426,0.666,-0.426,0.666,-0.426,79,E,59,S,,,31295,32.92,0
37,36.000,"Mount",0.508,-0.208,0.508,-0.208,0.508,-0.208,60,E,29,S,,,31332,32.87,0
38,37.000,"Mount",0.733,-0.308,0.733,-0.308,0.733,-0.308,87,E,43,S,,,31369,32.81,0
39,38.000,"Mount",0.724,-0.415,0.724,-0.415,0.724,-0.415,86,E,58,S,,,31406,32.73,0
40,39.000,"Mount",0.459,-0.340,0.459,-0.340,0.459,-0.340,55,E,47,S,,,31443,32.64,0
41,40.000,"Mount",0.694,-0.350,0.694,-0.350,0.694,-0.350,83,E,49,S,,,31480,32.55,0
42,41.000,"Mount",0.692,-0.503,0.692,-0.503,0.692,-0.503,83,E,70,S,,,31517,32.44,0
43,42.000,"Mount",0.343,-0.439,0.343,-0.439,0.343,-0.439,41,E,61,S,,,31554,32.32,0
44,43.000,"Mount",0.217,-0.305,0.217,-0.305,0.217,-0.305,26,E,42,S,,,31591,32.18,0
45,44.000,"Mount",0.398,-0.266,0.398,-0.266,0.398,-0.266,47,E,37,S,,,31628,32.04,0
46,45.000,"Mount",0.203,-0.327,0.203,-0.327,0.203,-0.327,24,E,45,S,,,31665,31.89,0
47,46.000,"Mount",0.250,-0.152,0.250,-0.152,0.250,0.000,29,E,0,,,,31702,31.73,0
48,47.000,"Mount",-0.017,-0.425,-0.017,-0.425,0.000,-0.425,0,,59,S,,,31739,31.56,0
49,48.000,"Mount",-0.146,-0.257,-0.146,-0.257,0.000,-0.257,0,,35,S,,,31776,31.38,0
50,49.000,"Mount",-0.013,-0.242,-0.013,-0.242,0.000,-0.242,0,,33,S,,,31813,31.19,0
51,50.000,"Mount",-0.270,-0.254,-0.270,-0.254,-0.270,-0.254,32,W,35,S,,,31850,30.99,0
