PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-004"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.123,0.461,-0.123,0.461,0.000,0.461,0,,64,N,,,30000,28.00,0
2,1.000,"Mount",0.073,0.535,0.073,0.535,0.000,0.535,0,,74,N,,,30037,28.25,0
3,2.000,"Mount",0.001,0.572,0.001,0.572,0.000,0.572,0,,80,N,,,30074,28.50,0
4,3.000,"Mount",0.205,0.532,0.205,0.532,0.205,0.532,24,E,74,N,,,30111,28.75,0
5,4.000,"Mount",0.322,0.450,0.322,0.450,0.322,0.450,38,E,63,N,,,30148,28.99,0
6,5.000,"Mount",0.573,0.485,0.573,0.485,0.573,0.485,68,E,67,N,,,30185,29.24,0
7,6.000,"Mount",0.631,0.725,0.631,0.725,0.631,0.725,75,E,101,N,,,30222,29.48,0
8,7.000,"Mount",0.568,0.671,0.568,0.671,0.568,0.671,68,E,93,N,,,30259,29.71,0
9,8.000,"Mount",0.604,0.605,0.604,0.605,0.604,0.605,72,E,84,N,,,30296,29.95,0
10,9.000,"Mount",0.600,0.663,0.600,0.663,0.600,0.663,71,E,92,N,,,30333,30.17,0
11,10.000,"Mount",0.630,0.572,0.630,0.572,0.630,0.572,75,E,80,N,,,30370,30.40,0
12,11.000,"Mount",0.549,0.586,0.549,0.586,0.549,0.586,65,E,82,N,,,30407,30.61,0
13,12.000,"Mount",0.442,0.716,0.442,0.716,0.442,0.716,53,E,100,N,,,30444,30.82,0
14,13.000,"Mount",0.770,0.743,0.770,0.743,0.770,0.743,92,E,104,N,,,30481,31.03,0
15,14.000,"Mount",0.580,0.486,0.580,0.486,0.580,0.486,69,E,68,N,,,30518,31.22,0
16,15.000,"Mount",0.263,0.542,0.263,0.542,0.263,0.542,31,E,75,N,,,30555,31.41,0
17,16.000,"Mount",0.421,0.418,0.421,0.418,0.421,0.418,50,E,58,N,,,30592,31.59,0
18,17.000,"Mount",0.514,0.598,0.514,0.598,0.514,0.598,61,E,83,N,,,30629,31.76,0
19,18.000,"Mount",0.346,0.258,0.346,0.258,0.346,0.258,41,E,36,N,,,30666,31.92,0
20,19.000,"Mount",0.266,0.165,0.266,0.165,0.266,0.000,31,E,0,,,,30703,32.07,0
21,20.000,"Mount",0.175,0.354,0.175,0.354,0.000,0.354,0,,49,N,,,30740,32.21,0
22,21.000,"Mount",0.446,0.224,0.446,0.224,0.446,0.224,53,E,31,N,,,30777,32.34,0
23,22.000,"Mount",0.111,0.144,0.111,0.144,0.000,0.000,0,,0,,,,30814,32.46,0
24,23.000,"Mount",0.440,0.138,0.440,0.138,0.440,0.000,52,E,0,,,,30851,32.56,0
25,24.000,"Mount",0.097,0.081,0.097,0.081,0.000,0.000,0,,0,,,,30888,32.66,0
26,25.000,"Mount",0.204,-0.030,0.204,-0.030,0.204,0.000,24,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.389,-0.063,0.389,-0.063,0.389,0.000,46,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.412,-0.125,0.412,-0.125,0.412,0.000,49,E,0,,,,30999,32.88,0
29,28.000,"Mount",0.400,-0.169,0.400,-0.169,0.400,0.000,48,E,0,,,,31036,32.93,0
30,29.000,"Mount",0.516,-0.063,0.516,-0.063,0.516,0.000,61,E,0,,,,31073,32.96,0
31,30.000,"Mount",0.551,-0.335,0.551,-0.335,0.551,-0.335,66,E,46,S,,,31110,32.99,0
32,31.000,"Mount",0.535,-0.210,0.535,-0.210,0.535,-0.210,64,E,29,S,,,31147,33.00,0
33,32.000,"Mount",0.648,-0.310,0.648,-0.310,0.648,-0.310,77,E,43,S,,,31184,33.00,0
34,33.000,"Mount",0.701,-0.311,0.701,-0.311,0.701,-0.311,84,E,43,S,,,31221,32.98,0
35,34.000,"Mount",0.589,-0.365,0.589,-0.365,0.589,-0.365,70,E,51,S,,,31258,32.96,0
36,35.000,"Mount",0.506,-0.461,0.506,-0.461,0.506,-0.461,60,E,64,S,,,31295,32.92,0
37,36.000,"Mount",0.600,-0.566,0.600,-0.566,0.600,-0.566,71,E,79,S,,,31332,32.87,0
38,37.000,"Mount",0.467,-0.583,0.467,-0.583,0.467,-0.583,56,E,81,S,,,31369,32.81,0
39,38.000,"Mount",0.676,-0.320,0.676,-0.320,0.676,-0.320,81,E,44,S,,,31406,32.73,0
40,39.000,"Mount",0.615,-0.289,0.615,-0.289,0.615,-0.289,73,E,40,S,,,31443,32.64,0
41,40.000,"Mount",0.673,-0.451,0.673,-0.451,0.673,-0.451,80,E,63,S,,,31480,32.55,0
42,41.000,"Mount",0.431,-0.490,0.431,-0.490,0.431,-0.490,51,E,68,S,,,31517,32.44,0
43,42.000,"Mount",0.622,-0.555,0.622,-0.555,0.622,-0.555,74,E,77,S,,,31554,32.32,0
44,43.000,"Mount",0.344,-0.328,0.344,-0.328,0.344,-0.328,41,E,45,S,,,31591,32.18,0
45,44.000,"Mount",0.263,-0.475,0.263,-0.475,0.263,-0.475,31,E,66,S,,,31628,32.04,0
46,45.000,"Mount",0.199,-0.522,0.199,-0.522,0.000,-0.522,0,,73,S,,,31665,31.89,0
47,46.000,"Mount",0.125,-0.381,0.125,-0.381,0.000,-0.381,0,,53,S,,,31702,31.73,0
48,47.000,"Mount",0.122,-0.306,0.122,-0.306,0.000,-0.306,0,,42,S,,,31739,31.56,0
49,48.000,"Mount",0.131,-0.380,0.131,-0.380,0.000,-0.380,0,,53,S,,,31776,31.38,0
50,49.000,"Mount",0.010,-0.270,0.010,-0.270,0.000,-0.270,0,,37,S,,,31813,31.19,0
51,50.000,"Mount",-0.134,-0.475,-0.134,-0.475,0.000,-0.475,0,,66,S,,,31850,30.99,0
52,51.000,"Mount",0.028,-0.426,0.028,-0.426,0.000,-0.426,0,,59,S,,,31887,30.79,0
53,52.000,"Mount",-0.218,-0.260,-0.218,-0.260,-0.218,-0.260,26,W,36,S,,,31924,30.58,0
54,53.000,"Mount",-0.184,-0.423,-0.184,-0.423,0.000,-0.423,0,,59,S,,,31961,30.36,0
55,54.000,"Mount",-0.433,-0.376,-0.433,-0.376,-0.433,-0.376,52,W,52,S,,,31998,30.14,0
56,55.000,"Mount",-0.498,-0.324,-0.498,-0.324,-0.498,-0.324,59,W,45,S,,,32035,29.91,0
57,56.000,"Mount",-0.514,-0.285,-0.514,-0.285,-0.514,-0.285,61,W,39,S,,,32072,29.67,0
58,57.000,"Mount",-0.345,-0.164,-0.345,-0.164,-0.345,0.000,41,W,0,,,,32109,29.44,0
59,58.000,"Mount",-0.272,-0.387,-0.272,-0.387,-0.272,-0.387,32,W,54,S,,,32146,29.20,0
60,59.000,"Mount",-0.522,-0.340,-0.522,-0.340,-0.522,-0.340,62,W,47,S,,,32183,28.95,0
