PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-006"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.085,0.435,-0.085,0.435,0.000,0.435,0,,60,N,,,30000,28.00,0
2,1.000,"Mount",0.065,0.496,0.065,0.496,0.000,0.496,0,,69,N,,,30037,28.25,0
3,2.000,"Mount",0.103,0.596,0.103,0.596,0.000,0.596,0,,83,N,,,30074,28.50,0
4,3.000,"Mount",0.234,0.596,0.234,0.596,0.234,0.596,28,E,83,N,,,30111,28.75,0
5,4.000,"Mount",0.451,0.662,0.451,0.662,0.451,0.662,54,E,92,N,,,30148,28.99,0
6,5.000,"Mount",0.319,0.662,0.319,0.662,0.319,0.662,38,E,92,N,,,30185,29.24,0
7,6.000,"Mount",0.390,0.735,0.390,0.735,0.390,0.735,46,E,102,N,,,30222,29.48,0
8,7.000,"Mount",0.736,0.563,0.736,0.563,0.736,0.563,88,E,78,N,,,30259,29.71,0
9,8.000,"Mount",0.297,0.612,0.297,0.612,0.297,0.612,35,E,85,N,,,30296,29.95,0
10,9.000,"Mount",0.487,0.587,0.487,0.587,0.487,0.587,58,E,82,N,,,30333,30.17,0
11,10.000,"Mount",0.678,0.675,0.678,0.675,0.678,0.675,81,E,94,N,,,30370,30.40,0
12,11.000,"Mount",0.521,0.511,0.521,0.511,0.521,0.511,62,E,71,N,,,30407,30.61,0
13,12.000,"Mount",0.519,0.610,0.519,0.610,0.519,0.610,62,E,85,N,,,30444,30.82,0
14,13.000,"Mount",0.354,0.589,0.354,0.589,0.354,0.589,42,E,82,N,,,30481,31.03,0
15,14.000,"Mount",0.315,0.506,0.315,0.506,0.315,0.506,37,E,70,N,,,30518,31.22,0
16,15.000,"Mount",0.656,0.178,0.656,0.178,0.656,0.000,78,E,0,,,,30555,31.41,0
17,16.000,"Mount",0.688,0.383,0.688,0.383,0.688,0.383,82,E,53,N,,,30592,31.59,0
18,17.000,"Mount",0.495,0.593,0.495,0.593,0.495,0.593,59,E,83,N,,,30629,31.76,0
19,18.000,"Mount",0.344,0.413,0.344,0.413,0.344,0.413,41,E,57,N,,,30666,31.92,0
20,19.000,"Mount",0.219,0.203,0.219,0.203,0.219,0.203,26,E,28,N,,,30703,32.07,0
21,20.000,"Mount",0.358,0.190,0.358,0.190,0.358,0.000,42,E,0,,,,30740,32.21,0
22,21.000,"Mount",0.393,0.116,0.393,0.116,0.393,0.000,47,E,0,,,,30777,32.34,0
