PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-014"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",0.083,0.522,0.083,0.522,0.000,0.522,0,,73,N,,,30000,28.00,0
2,1.000,"Mount",-0.032,0.508,-0.032,0.508,0.000,0.508,0,,71,N,,,30037,28.25,0
3,2.000,"Mount",0.113,0.545,0.113,0.545,0.000,0.545,0,,76,N,,,30074,28.50,0
4,3.000,"Mount",0.455,0.521,0.455,0.521,0.455,0.521,54,E,72,N,,,30111,28.75,0
5,4.000,"Mount",0.389,0.593,0.389,0.593,0.389,0.593,46,E,83,N,,,30148,28.99,0
6,5.000,"Mount",0.545,0.784,0.545,0.784,0.545,0.784,65,E,109,N,,,30185,29.24,0
7,6.000,"Mount",0.491,0.662,0.491,0.662,0.491,0.662,58,E,92,N,,,30222,29.48,0
8,7.000,"Mount",0.661,0.804,0.661,0.804,0.661,0.804,79,E,112,N,,,30259,29.71,0
9,8.000,"Mount",0.567,0.770,0.567,0.770,0.567,0.770,68,E,107,N,,,30296,29.95,0
10,9.000,"Mount",0.458,0.617,0.458,0.617,0.458,0.617,54,E,86,N,,,30333,30.17,0
11,10.000,"Mount",0.373,0.694,0.373,0.694,0.373,0.694,44,E,97,N,,,30370,30.40,0
12,11.000,"Mount",0.452,0.609,0.452,0.609,0.452,0.609,54,E,85,N,,,30407,30.61,0
13,12.000,"Mount",0.417,0.622,0.417,0.622,0.417,0.622,50,E,87,N,,,30444,30.82,0
14,13.000,"Mount",0.399,0.595,0.399,0.595,0.399,0.595,47,E,83,N,,,30481,31.03,0
15,14.000,"Mount",0.429,0.437,0.429,0.437,0.429,0.437,51,E,61,N,,,30518,31.22,0
