PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-016"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.163,0.359,-0.163,0.359,0.000,0.359,0,,50,N,,,30000,28.00,0
2,1.000,"Mount",-0.015,0.468,-0.015,0.468,0.000,0.468,0,,65,N,,,30037,28.25,0
3,2.000,"Mount",0.208,0.652,0.208,0.652,0.208,0.652,24,E,91,N,,,30074,28.50,0
4,3.000,"Mount",0.388,0.530,0.388,0.530,0.388,0.530,46,E,74,N,,,30111,28.75,0
5,4.000,"Mount",0.299,0.635,0.299,0.635,0.299,0.635,35,E,88,N,,,30148,28.99,0
6,5.000,"Mount",0.412,0.603,0.412,0.603,0.412,0.603,49,E,84,N,,,30185,29.24,0
7,6.000,"Mount",0.522,0.459,0.522,0.459,0.522,0.459,62,E,64,N,,,30222,29.48,0
8,7.000,"Mount",0.242,0.568,0.242,0.568,0.242,0.568,29,E,79,N,,,30259,29.71,0
9,8.000,"Mount",0.381,0.698,0.381,0.698,0.381,0.698,45,E,97,N,,,30296,29.95,0
10,9.000,"Mount",0.486,0.624,0.486,0.624,0.486,0.624,58,E,87,N,,,30333,30.17,0
11,10.000,"Mount",0.564,0.757,0.564,0.757,0.564,0.757,67,E,106,N,,,30370,30.40,0
12,11.000,"Mount",0.588,0.589,0.588,0.589,0.588,0.589,70,E,82,N,,,30407,30.61,0
13,12.000,"Mount",0.502,0.537,0.502,0.537,0.502,0.537,60,E,75,N,,,30444,30.82,0
14,13.000,"Mount",0.489,0.476,0.489,0.476,0.489,0.476,58,E,66,N,,,30481,31.03,0
15,14.000,"Mount",0.748,0.506,0.748,0.506,0.748,0.506,89,E,70,N,,,30518,31.22,0
16,15.000,"Mount",0.429,0.592,0.429,0.592,0.429,0.592,51,E,82,N,,,30555,31.41,0
17,16.000,"Mount",0.616,0.327,0.616,0.327,0.616,0.327,73,E,45,N,,,30592,31.59,0
18,17.000,"Mount",0.440,0.401,0.440,0.401,0.440,0.401,52,E,56,N,,,30629,31.76,0
19,18.000,"Mount",0.513,0.138,0.513,0.138,0.513,0.000,61,E,0,,,,30666,31.92,0
20,19.000,"Mount",0.334,0.306,0.334,0.306,0.334,0.306,40,E,42,N,,,30703,32.07,0
21,20.000,"Mount",0.636,0.249,0.636,0.249,0.636,0.249,76,E,34,N,,,30740,32.21,0
22,21.000,"Mount",0.171,0.281,0.171,0.281,0.000,0.281,0,,39,N,,,30777,32.34,0
23,22.000,"Mount",0.392,0.180,0.392,0.180,0.392,0.000,46,E,0,,,,30814,32.46,0
24,23.000,"Mount",0.385,0.038,0.385,0.038,0.385,0.000,46,E,0,,,,30851,32.56,0
25,24.000,"Mount",0.308,0.171,0.308,0.171,0.308,0.000,36,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.385,0.033,0.385,0.033,0.385,0.000,46,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.420,0.064,0.420,0.064,0.420,0.000,50,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.422,-0.146,0.422,-0.146,0.422,0.000,50,E,0,,,,30999,32.88,0
29,28.000,"Mount",0.343,-0.178,0.343,-0.178,0.343,0.000,41,E,0,,,,31036,32.93,0
30,29.000,"Mount",0.461,-0.315,0.461,-0.315,0.461,-0.315,55,E,44,S,,,31073,32.96,0
31,30.000,"Mount",0.489,-0.278,0.489,-0.278,0.489,-0.278,58,E,38,S,,,31110,32.99,0
32,31.000,"Mount",0.798,-0.232,0.798,-0.232,0.798,-0.232,95,E,32,S,,,31147,33.00,0
33,32.000,"Mount",0.821,-0.102,0.821,-0.102,0.821,0.000,98,E,0,,,,31184,33.00,0
34,33.000,"Mount",0.531,-0.360,0.531,-0.360,0.531,-0.360,63,E,50,S,,,31221,32.98,0
35,34.000,"Mount",0.647,-0.294,0.647,-0.294,0.647,-0.294,77,E,41,S,,,31258,32.96,0
36,35.000,"Mount",0.590,-0.381,0.590,-0.381,0.590,-0.381,70,E,53,S,,,31295,32.92,0
37,36.000,"Mount",0.758,-0.381,0.758,-0.381,0.758,-0.381,90,E,53,S,,,31332,32.87,0
38,37.000,"Mount",0.680,-0.490,0.680,-0.490,0.680,-0.490,81,E,68,S,,,31369,32.81,0
39,38.000,"Mount",0.739,-0.352,0.739,-0.352,0.739,-0.352,88,E,49,S,,,31406,32.73,0
40,39.000,"Mount",0.676,-0.534,0.676,-0.534,0.676,-0.534,81,E,74,S,,,31443,32.64,0
41,40.000,"Mount",0.562,-0.342,0.562,-0.342,0.562,-0.342,67,E,47,S,,,31480,32.55,0
42,41.000,"Mount",0.761,-0.342,0.761,-0.342,0.761,-0.342,91,E,47,S,,,31517,32.44,0
43,42.000,"Mount",0.470,-0.492,0.470,-0.492,0.470,-0.492,56,E,68,S,,,31554,32.32,0
44,43.000,"Mount",0.503,-0.515,0.503,-0.515,0.503,-0.515,60,E,72,S,,,31591,32.18,0
45,44.000,"Mount",0.528,-0.342,0.528,-0.342,0.528,-0.342,63,E,47,S,,,31628,32.04,0
46,45.000,"Mount",0.259,-0.424,0.259,-0.424,0.259,-0.424,31,E,59,S,,,31665,31.89,0
47,46.000,"Mount",0.282,-0.385,0.282,-0.385,0.282,-0.385,33,E,53,S,,,31702,31.73,0
48,47.000,"Mount",0.190,-0.517,0.190,-0.517,0.000,-0.517,0,,72,S,,,31739,31.56,0
49,48.000,"Mount",0.014,-0.164,0.014,-0.164,0.000,0.000,0,,0,,,,31776,31.38,0
50,49.000,"Mount",-0.003,-0.449,-0.003,-0.449,0.000,-0.449,0,,62,S,,,31813,31.19,0
51,50.000,"Mount",-0.343,-0.467,-0.343,-0.467,-0.343,-0.467,41,W,65,S,,,31850,30.99,0
52,51.000,"Mount",-0.278,-0.351,-0.278,-0.351,-0.278,-0.351,33,W,49,S,,,31887,30.79,0
53,52.000,"Mount",-0.212,-0.313,-0.212,-0.313,-0.212,-0.313,25,W,43,S,,,31924,30.58,0
54,53.000,"Mount",-0.244,-0.399,-0.244,-0.399,-0.244,-0.399,29,W,55,S,,,31961,30.36,0
55,54.000,"Mount",-0.320,-0.330,-0.320,-0.330,-0.320,-0.330,38,W,46,S,,,31998,30.14,0
56,55.000,"Mount",-0.402,-0.117,-0.402,-0.117,-0.402,0.000,48,W,0,,,,32035,29.91,0
57,56.000,"Mount",-0.454,-0.241,-0.454,-0.241,-0.454,-0.241,54,W,33,S,,,32072,29.67,0
58,57.000,"Mount",-0.189,-0.249,-0.189,-0.249,0.000,-0.249,0,,34,S,,,32109,29.44,0
59,58.000,"Mount",-0.651,-0.306,-0.651,-0.306,-0.651,-0.306,78,W,42,S,,,32146,29.20,0
60,59.000,"Mount",-0.546,-0.451,-0.546,-0.451,-0.546,-0.451,65,W,63,S,,,32183,28.95,0
