PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-007"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",0.140,0.695,0.140,0.695,0.000,0.695,0,,97,N,,,30000,28.00,0
2,1.000,"Mount",-0.153,0.490,-0.153,0.490,0.000,0.490,0,,68,N,,,30037,28.25,0
3,2.000,"Mount",0.277,0.518,0.277,0.518,0.277,0.518,33,E,72,N,,,30074,28.50,0
4,3.000,"Mount",0.469,0.555,0.469,0.555,0.469,0.555,56,E,77,N,,,30111,28.75,0
5,4.000,"Mount",0.405,0.666,0.405,0.666,0.405,0.666,48,E,93,N,,,30148,28.99,0
6,5.000,"Mount",0.570,0.728,0.570,0.728,0.570,0.728,68,E,101,N,,,30185,29.24,0
7,6.000,"Mount",0.400,0.584,0.400,0.584,0.400,0.584,47,E,81,N,,,30222,29.48,0
8,7.000,"Mount",0.285,0.669,0.285,0.669,0.285,0.669,34,E,93,N,,,30259,29.71,0
9,8.000,"Mount",0.493,0.711,0.493,0.711,0.493,0.711,59,E,99,N,,,30296,29.95,0
10,9.000,"Mount",0.734,0.756,0.734,0.756,0.734,0.756,88,E,105,N,,,30333,30.17,0
11,10.000,"Mount",0.746,0.678,0.746,0.678,0.746,0.678,89,E,94,N,,,30370,30.40,0
12,11.000,"Mount",0.543,0.596,0.543,0.596,0.543,0.596,65,E,83,N,,,30407,30.61,0
13,12.000,"Mount",0.389,0.546,0.389,0.546,0.389,0.546,46,E,76,N,,,30444,30.82,0
14,13.000,"Mount",0.707,0.515,0.707,0.515,0.707,0.515,84,E,72,N,,,30481,31.03,0
15,14.000,"Mount",0.458,0.681,0.458,0.681,0.458,0.681,54,E,95,N,,,30518,31.22,0
16,15.000,"Mount",0.544,0.384,0.544,0.384,0.544,0.384,65,E,53,N,,,30555,31.41,0
17,16.000,"Mount",0.443,0.387,0.443,0.387,0.443,0.387,53,E,54,N,,,30592,31.59,0
18,17.000,"Mount",0.472,0.371,0.472,0.371,0.472,0.371,56,E,51,N,,,30629,31.76,0
19,18.000,"Mount",0.511,0.392,0.511,0.392,0.511,0.392,61,E,54,N,,,30666,31.92,0
20,19.000,"Mount",0.337,0.101,0.337,0.101,0.337,0.000,40,E,0,,,,30703,32.07,0
21,20.000,"Mount",0.364,0.237,0.364,0.237,0.364,0.237,43,E,33,N,,,30740,32.21,0
22,21.000,"Mount",0.313,0.326,0.313,0.326,0.313,0.326,37,E,45,N,,,30777,32.34,0
23,22.000,"Mount",0.511,0.269,0.511,0.269,0.511,0.269,61,E,37,N,,,30814,32.46,0
24,23.000,"Mount",0.076,0.162,0.076,0.162,0.000,0.000,0,,0,,,,30851,32.56,0
25,24.000,"Mount",0.350,-0.011,0.350,-0.011,0.350,0.000,41,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.352,-0.068,0.352,-0.068,0.352,0.000,42,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.351,-0.175,0.351,-0.175,0.351,0.000,42,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.472,-0.323,0.472,-0.323,0.472,-0.323,56,E,45,S,,,30999,32.88,0
29,28.000,"Mount",0.352,-0.219,0.352,-0.219,0.352,-0.219,42,E,30,S,,,31036,32.93,0
30,29.000,"Mount",0.406,-0.246,0.406,-0.246,0.406,-0.246,48,E,34,S,,,31073,32.96,0
31,30.000,"Mount",0.414,-0.380,0.414,-0.380,0.414,-0.380,49,E,53,S,,,31110,32.99,0
32,31.000,"Mount",0.430,-0.367,0.430,-0.367,0.430,-0.367,51,E,51,S,,,31147,33.00,0
33,32.000,"Mount",0.529,-0.416,0.529,-0.416,0.529,-0.416,63,E,58,S,,,31184,33.00,0
34,33.000,"Mount",0.586,-0.314,0.586,-0.314,0.586,-0.314,70,E,43,S,,,31221,32.98,0
35,34.000,"Mount",0.738,-0.459,0.738,-0.459,0.738,-0.459,88,E,64,S,,,31258,32.96,0
36,35.000,"Mount",0.546,-0.408,0.546,-0.408,0.546,-0.408,65,E,57,S,,,31295,32.92,0
37,36.000,"Mount",0.638,-0.465,0.638,-0.465,0.638,-0.465,76,E,65,S,,,31332,32.87,0
38,37.000,"Mount",0.669,-0.408,0.669,-0.408,0.669,-0.408,80,E,57,S,,,31369,32.81,0
39,38.000,"Mount",0.542,-0.532,0.542,-0.532,0.542,-0.532,65,E,74,S,,,31406,32.73,0
40,39.000,"Mount",0.630,-0.450,0.630,-0.450,0.630,-0.450,75,E,62,S,,,31443,32.64,0
41,40.000,"Mount",0.600,-0.285,0.600,-0.285,0.600,-0.285,72,E,39,S,,,31480,32.55,0
42,41.000,"Mount",0.592,-0.487,0.592,-0.487,0.592,-0.487,71,E,68,S,,,31517,32.44,0
43,42.000,"Mount",0.518,-0.491,0.518,-0.491,0.518,-0.491,62,E,68,S,,,31554,32.32,0
44,43.000,"Mount",0.519,-0.228,0.519,-0.228,0.519,-0.228,62,E,31,S,,,31591,32.18,0
45,44.000,"Mount",0.350,-0.386,0.350,-0.386,0.350,-0.386,41,E,54,S,,,31628,32.04,0
46,45.000,"Mount",0.333,-0.538,0.333,-0.538,0.333,-0.538,39,E,75,S,,,31665,31.89,0
47,46.000,"Mount",0.324,-0.431,0.324,-0.431,0.324,-0.431,38,E,60,S,,,31702,31.73,0
48,47.000,"Mount",0.095,-0.579,0.095,-0.579,0.000,-0.579,0,,81,S,,,31739,31.56,0
49,48.000,"Mount",0.125,-0.163,0.125,-0.163,0.000,0.000,0,,0,,,,31776,31.38,0
50,49.000,"Mount",-0.186,-0.495,-0.186,-0.495,0.000,-0.495,0,,69,S,,,31813,31.19,0
51,50.000,"Mount",-0.142,-0.326,-0.142,-0.326,0.000,-0.326,0,,45,S,,,31850,30.99,0
52,51.000,"Mount",-0.261,-0.392,-0.261,-0.392,-0.261,-0.392,31,W,54,S,,,31887,30.79,0
53,52.000,"Mount",-0.234,-0.254,-0.234,-0.254,-0.234,-0.254,28,W,35,S,,,31924,30.58,0
54,53.000,"Mount",-0.477,-0.309,-0.477,-0.309,-0.477,-0.309,57,W,43,S,,,31961,30.36,0
55,54.000,"Mount",-0.408,-0.252,-0.408,-0.252,-0.408,-0.252,48,W,35,S,,,31998,30.14,0
56,55.000,"Mount",-0.241,-0.335,-0.241,-0.335,-0.241,-0.335,28,W,46,S,,,32035,29.91,0
57,56.000,"Mount",-0.236,-0.409,-0.236,-0.409,-0.236,-0.409,28,W,57,S,,,32072,29.67,0
58,57.000,"Mount",-0.326,-0.397,-0.326,-0.397,-0.326,-0.397,39,W,55,S,,,32109,29.44,0
59,58.000,"Mount",-0.510,-0.257,-0.510,-0.257,-0.510,-0.257,61,W,35,S,,,32146,29.20,0
60,59.000,"Mount",-0.541,-0.200,-0.541,-0.200,-0.541,-0.200,64,W,28,S,,,32183,28.95,0
