PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-009"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.050,0.427,-0.050,0.427,0.000,0.427,0,,59,N,,,30000,28.00,0
2,1.000,"Mount",-0.031,0.441,-0.031,0.441,0.000,0.441,0,,61,N,,,30037,28.25,0
3,2.000,"Mount",0.446,0.550,0.446,0.550,0.446,0.550,53,E,76,N,,,30074,28.50,0
4,3.000,"Mount",0.450,0.551,0.450,0.551,0.450,0.551,53,E,77,N,,,30111,28.75,0
5,4.000,"Mount",0.044,0.622,0.044,0.622,0.000,0.622,0,,87,N,,,30148,28.99,0
6,5.000,"Mount",0.511,0.398,0.511,0.398,0.511,0.398,61,E,55,N,,,30185,29.24,0
7,6.000,"Mount",0.400,0.682,0.400,0.682,0.400,0.682,48,E,95,N,,,30222,29.48,0
8,7.000,"Mount",0.464,0.489,0.464,0.489,0.464,0.489,55,E,68,N,,,30259,29.71,0
9,8.000,"Mount",0.570,0.666,0.570,0.666,0.570,0.666,68,E,93,N,,,30296,29.95,0
10,9.000,"Mount",0.379,0.737,0.379,0.737,0.379,0.737,45,E,103,N,,,30333,30.17,0
11,10.000,"Mount",0.409,0.542,0.409,0.542,0.409,0.542,49,E,75,N,,,30370,30.40,0
12,11.000,"Mount",0.488,0.566,0.488,0.566,0.488,0.566,58,E,79,N,,,30407,30.61,0
13,12.000,"Mount",0.467,0.466,0.467,0.466,0.467,0.466,56,E,65,N,,,30444,30.82,0
14,13.000,"Mount",0.343,0.531,0.343,0.531,0.343,0.531,41,E,74,N,,,30481,31.03,0
15,14.000,"Mount",0.662,0.525,0.662,0.525,0.662,0.525,79,E,73,N,,,30518,31.22,0
