PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-001"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.039,0.524,-0.039,0.524,0.000,0.524,0,,73,N,,,30000,28.00,0
2,1.000,"Mount",0.029,0.625,0.029,0.625,0.000,0.625,0,,87,N,,,30037,28.25,0
3,2.000,"Mount",0.374,0.412,0.374,0.412,0.374,0.412,44,E,57,N,,,30074,28.50,0
4,3.000,"Mount",0.489,0.486,0.489,0.486,0.489,0.486,58,E,68,N,,,30111,28.75,0
5,4.000,"Mount",0.346,0.607,0.346,0.607,0.346,0.607,41,E,84,N,,,30148,28.99,0
6,5.000,"Mount",0.244,0.573,0.244,0.573,0.244,0.573,29,E,80,N,,,30185,29.24,0
7,6.000,"Mount",0.477,0.574,0.477,0.574,0.477,0.574,57,E,80,N,,,30222,29.48,0
8,7.000,"Mount",0.506,0.577,0.506,0.577,0.506,0.577,60,E,80,N,,,30259,29.71,0
9,8.000,"Mount",0.432,0.633,0.432,0.633,0.432,0.633,51,E,88,N,,,30296,29.95,0
10,9.000,"Mount",0.747,0.566,0.747,0.566,0.747,0.566,89,E,79,N,,,30333,30.17,0
11,10.000,"Mount",0.698,0.763,0.698,0.763,0.698,0.763,83,E,106,N,,,30370,30.40,0
12,11.000,"Mount",0.414,0.524,0.414,0.524,0.414,0.524,49,E,73,N,,,30407,30.61,0
13,12.000,"Mount",0.684,0.715,0.684,0.715,0.684,0.715,82,E,100,N,,,30444,30.82,0
14,13.000,"Mount",0.393,0.663,0.393,0.663,0.393,0.663,47,E,92,N,,,30481,31.03,0
15,14.000,"Mount",0.492,0.560,0.492,0.560,0.492,0.560,59,E,78,N,,,30518,31.22,0
16,15.000,"Mount",0.412,0.454,0.412,0.454,0.412,0.454,49,E,63,N,,,30555,31.41,0
17,16.000,"Mount",0.401,0.464,0.401,0.464,0.401,0.464,48,E,64,N,,,30592,31.59,0
18,17.000,"Mount",0.460,0.535,0.460,0.535,0.460,0.535,55,E,74,N,,,30629,31.76,0
19,18.000,"Mount",0.374,0.472,0.374,0.472,0.374,0.472,44,E,66,N,,,30666,31.92,0
20,19.000,"Mount",0.366,0.318,0.366,0.318,0.366,0.318,43,E,44,N,,,30703,32.07,0
21,20.000,"Mount",0.538,0.356,0.538,0.356,0.538,0.356,64,E,49,N,,,30740,32.21,0
22,21.000,"Mount",0.326,0.182,0.326,0.182,0.326,0.000,39,E,0,,,,30777,32.34,0
23,22.000,"Mount",0.401,0.311,0.401,0.311,0.401,0.311,48,E,43,N,,,30814,32.46,0
24,23.000,"Mount",0.162,0.272,0.162,0.272,0.000,0.272,0,,38,N,,,30851,32.56,0
25,24.000,"Mount",0.373,-0.019,0.373,-0.019,0.373,0.000,44,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.444,0.098,0.444,0.098,0.444,0.000,53,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.393,0.179,0.393,0.179,0.393,0.000,47,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.332,-0.128,0.332,-0.128,0.332,0.000,39,E,0,,,,30999,32.88,0
29,28.000,"Mount",0.559,-0.195,0.559,-0.195,0.559,0.000,67,E,0,,,,31036,32.93,0
