PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-013"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.049,0.544,-0.049,0.544,0.000,0.544,0,,76,N,,,30000,28.00,0
2,1.000,"Mount",0.072,0.523,0.072,0.523,0.000,0.523,0,,73,N,,,30037,28.25,0
3,2.000,"Mount",0.364,0.421,0.364,0.421,0.364,0.421,43,E,58,N,,,30074,28.50,0
4,3.000,"Mount",-0.031,0.444,-0.031,0.444,0.000,0.444,0,,62,N,,,30111,28.75,0
5,4.000,"Mount",0.022,0.643,0.022,0.643,0.000,0.643,0,,90,N,,,30148,28.99,0
6,5.000,"Mount",0.459,0.643,0.459,0.643,0.459,0.643,55,E,90,N,,,30185,29.24,0
7,6.000,"Mount",0.264,0.590,0.264,0.590,0.264,0.590,31,E,82,N,,,30222,29.48,0
8,7.000,"Mount",0.505,0.561,0.505,0.561,0.505,0.561,60,E,78,N,,,30259,29.71,0
9,8.000,"Mount",0.775,0.635,0.775,0.635,0.775,0.635,92,E,88,N,,,30296,29.95,0
10,9.000,"Mount",0.444,0.732,0.444,0.732,0.444,0.732,53,E,102,N,,,30333,30.17,0
11,10.000,"Mount",0.882,0.683,0.882,0.683,0.882,0.683,105,E,95,N,,,30370,30.40,0
12,11.000,"Mount",0.421,0.700,0.421,0.700,0.421,0.700,50,E,97,N,,,30407,30.61,0
13,12.000,"Mount",0.656,0.552,0.656,0.552,0.656,0.552,78,E,77,N,,,30444,30.82,0
14,13.000,"Mount",0.535,0.620,0.535,0.620,0.535,0.620,64,E,86,N,,,30481,31.03,0
15,14.000,"Mount",0.560,0.485,0.560,0.485,0.560,0.485,67,E,67,N,,,30518,31.22,0
16,15.000,"Mount",0.382,0.358,0.382,0.358,0.382,0.358,45,E,50,N,,,30555,31.41,0
17,16.000,"Mount",0.625,0.401,0.625,0.401,0.625,0.401,74,E,56,N,,,30592,31.59,0
18,17.000,"Mount",0.273,0.389,0.273,0.389,0.273,0.389,32,E,54,N,,,30629,31.76,0
19,18.000,"Mount",0.414,0.275,0.414,0.275,0.414,0.275,49,E,38,N,,,30666,31.92,0
20,19.000,"Mount",0.305,0.365,0.305,0.365,0.305,0.365,36,E,51,N,,,30703,32.07,0
21,20.000,"Mount",0.510,0.270,0.510,0.270,0.510,0.270,61,E,37,N,,,30740,32.21,0
22,21.000,"Mount",0.222,0.183,0.222,0.183,0.222,0.000,26,E,0,,,,30777,32.34,0
23,22.000,"Mount",0.386,0.166,0.386,0.166,0.386,0.000,46,E,0,,,,30814,32.46,0
24,23.000,"Mount",0.243,0.010,0.243,0.010,0.243,0.000,29,E,0,,,,30851,32.56,0
25,24.000,"Mount",0.445,-0.098,0.445,-0.098,0.445,0.000,53,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.299,0.093,0.299,0.093,0.299,0.000,35,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.599,-0.072,0.599,-0.072,0.599,0.000,71,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.362,-0.062,0.362,-0.062,0.362,0.000,43,E,0,,,,30999,32.88,0
29,28.000,"Mount",0.388,-0.105,0.388,-0.105,0.388,0.000,46,E,0,,,,31036,32.93,0
30,29.000,"Mount",0.785,-0.011,0.785,-0.011,0.785,0.000,94,E,0,,,,31073,32.96,0
31,30.000,"Mount",0.606,-0.218,0.606,-0.218,0.606,-0.218,72,E,30,S,,,31110,32.99,0
32,31.000,"Mount",0.555,-0.102,0.555,-0.102,0.555,0.000,66,E,0,,,,31147,33.00,0
33,32.000,"Mount",0.533,-0.222,0.533,-0.222,0.533,-0.222,63,E,31,S,,,31184,33.00,0
34,33.000,"Mount",0.610,-0.322,0.610,-0.322,0.610,-0.322,73,E,45,S,,,31221,32.98,0
35,34.000,"Mount",0.576,-0.245,0.576,-0.245,0.576,-0.245,69,E,34,S,,,31258,32.96,0
36,35.000,"Mount",0.549,-0.329,0.549,-0.329,0.549,-0.329,65,E,46,S,,,31295,32.92,0
37,36.000,"Mount",0.616,-0.280,0.616,-0.280,0.616,-0.280,73,E,39,S,,,31332,32.87,0
38,37.000,"Mount",0.517,-0.329,0.517,-0.329,0.517,-0.329,61,E,46,S,,,31369,32.81,0
39,38.000,"Mount",0.653,-0.406,0.653,-0.406,0.653,-0.406,78,E,56,S,,,31406,32.73,0
40,39.000,"Mount",0.574,-0.394,0.574,-0.394,0.574,-0.394,68,E,55,S,,,31443,32.64,0
41,40.000,"Mount",0.610,-0.336,0.610,-0.336,0.610,-0.336,73,E,47,S,,,31480,32.55,0
42,41.000,"Mount",0.550,-0.362,0.550,-0.362,0.550,-0.362,66,E,50,S,,,31517,32.44,0
43,42.000,"Mount",0.569,-0.419,0.569,-0.419,0.569,-0.419,68,E,58,S,,,31554,32.32,0
44,43.000,"Mount",0.527,-0.501,0.527,-0.501,0.527,-0.501,63,E,70,S,,,31591,32.18,0
45,44.000,"Mount",0.335,-0.364,0.335,-0.364,0.335,-0.364,40,E,50,S,,,31628,32.04,0
46,45.000,"Mount",0.342,-0.384,0.342,-0.384,0.342,-0.384,41,E,53,S,,,31665,31.89,0
47,46.000,"Mount",0.061,-0.319,0.061,-0.319,0.000,-0.319,0,,44,S,,,31702,31.73,0
48,47.000,"Mount",-0.172,-0.470,-0.172,-0.470,0.000,-0.470,0,,65,S,,,31739,31.56,0
49,48.000,"Mount",-0.038,-0.359,-0.038,-0.359,0.000,-0.359,0,,50,S,,,31776,31.38,0
50,49.000,"Mount",-0.157,-0.362,-0.157,-0.362,0.000,-0.362,0,,50,S,,,31813,31.19,0
51,50.000,"Mount",-0.171,-0.158,-0.171,-0.158,0.000,0.000,0,,0,,,,31850,30.99,0
52,51.000,"Mount",-0.262,-0.401,-0.262,-0.401,-0.262,-0.401,31,W,56,S,,,31887,30.79,0
53,52.000,"Mount",-0.469,-0.261,-0.469,-0.261,-0.469,-0.261,56,W,36,S,,,31924,30.58,0
54,53.000,"Mount",-0.386,-0.189,-0.386,-0.189,-0.386,0.000,46,W,0,,,,31961,30.36,0
55,54.000,"Mount",-0.292,-0.017,-0.292,-0.017,-0.292,0.000,35,W,0,,,,31998,30.14,0
56,55.000,"Mount",-0.574,-0.490,-0.574,-0.490,-0.574,-0.490,68,W,68,S,,,32035,29.91,0
57,56.000,"Mount",-0.466,-0.273,-0.466,-0.273,-0.466,-0.273,55,W,38,S,,,32072,29.67,0
58,57.000,"Mount",-0.570,-0.298,-0.570,-0.298,-0.570,-0.298,68,W,41,S,,,32109,29.44,0
59,58.000,"Mount",-0.550,-0.220,-0.550,-0.220,-0.550,-0.220,65,W,30,S,,,32146,29.20,0
60,59.000,"Mount",-0.328,-0.085,-0.328,-0.085,-0.328,0.000,39,W,0,,,,32183,28.95,0
