PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-005"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",0.002,0.397,0.002,0.397,0.000,0.397,0,,55,N,,,30000,28.00,0
2,1.000,"Mount",0.080,0.620,0.080,0.620,0.000,0.620,0,,86,N,,,30037,28.25,0
3,2.000,"Mount",0.202,0.523,0.202,0.523,0.202,0.523,24,E,73,N,,,30074,28.50,0
4,3.000,"Mount",0.259,0.669,0.259,0.669,0.259,0.669,31,E,93,N,,,30111,28.75,0
5,4.000,"Mount",0.470,0.588,0.470,0.588,0.470,0.588,56,E,82,N,,,30148,28.99,0
6,5.000,"Mount",0.563,0.813,0.563,0.813,0.563,0.813,67,E,113,N,,,30185,29.24,0
7,6.000,"Mount",0.453,0.588,0.453,0.588,0.453,0.588,54,E,82,N,,,30222,29.48,0
8,7.000,"Mount",0.468,0.632,0.468,0.632,0.468,0.632,56,E,88,N,,,30259,29.71,0
9,8.000,"Mount",0.592,0.584,0.592,0.584,0.592,0.584,70,E,81,N,,,30296,29.95,0
10,9.000,"Mount",0.436,0.671,0.436,0.671,0.436,0.671,52,E,93,N,,,30333,30.17,0
11,10.000,"Mount",0.611,0.747,0.611,0.747,0.611,0.747,73,E,104,N,,,30370,30.40,0
12,11.000,"Mount",0.463,0.593,0.463,0.593,0.463,0.593,55,E,82,N,,,30407,30.61,0
13,12.000,"Mount",0.638,0.550,0.638,0.550,0.638,0.550,76,E,76,N,,,30444,30.82,0
14,13.000,"Mount",0.523,0.630,0.523,0.630,0.523,0.630,62,E,88,N,,,30481,31.03,0
15,14.000,"Mount",0.604,0.588,0.604,0.588,0.604,0.588,72,E,82,N,,,30518,31.22,0
16,15.000,"Mount",0.462,0.440,0.462,0.440,0.462,0.440,55,E,61,N,,,30555,31.41,0
17,16.000,"Mount",0.481,0.337,0.481,0.337,0.481,0.337,57,E,47,N,,,30592,31.59,0
18,17.000,"Mount",0.619,0.437,0.619,0.437,0.619,0.437,74,E,61,N,,,30629,31.76,0
19,18.000,"Mount",0.472,0.270,0.472,0.270,0.472,0.270,56,E,37,N,,,30666,31.92,0
20,19.000,"Mount",0.394,0.263,0.394,0.263,0.394,0.263,47,E,36,N,,,30703,32.07,0
21,20.000,"Mount",0.374,0.232,0.374,0.232,0.374,0.232,44,E,32,N,,,30740,32.21,0
22,21.000,"Mount",0.370,0.300,0.370,0.300,0.370,0.300,44,E,42,N,,,30777,32.34,0
23,22.000,"Mount",0.108,0.137,0.108,0.137,0.000,0.000,0,,0,,,,30814,32.46,0
24,23.000,"Mount",0.395,0.108,0.395,0.108,0.395,0.000,47,E,0,,,,30851,32.56,0
25,24.000,"Mount",0.403,-0.012,0.403,-0.012,0.403,0.000,48,E,0,,,,30888,32.66,0
