PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-008"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.129,0.504,-0.129,0.504,0.000,0.504,0,,70,N,,,30000,28.00,0
2,1.000,"Mount",-0.066,0.642,-0.066,0.642,0.000,0.642,0,,89,N,,,30037,28.25,0
3,2.000,"Mount",0.188,0.586,0.188,0.586,0.000,0.586,0,,81,N,,,30074,28.50,0
4,3.000,"Mount",0.350,0.748,0.350,0.748,0.350,0.748,42,E,104,N,,,30111,28.75,0
5,4.000,"Mount",0.392,0.729,0.392,0.729,0.392,0.729,46,E,102,N,,,30148,28.99,0
6,5.000,"Mount",0.425,0.563,0.425,0.563,0.425,0.563,51,E,78,N,,,30185,29.24,0
7,6.000,"Mount",0.297,0.640,0.297,0.640,0.297,0.640,35,E,89,N,,,30222,29.48,0
8,7.000,"Mount",0.666,0.676,0.666,0.676,0.666,0.676,79,E,94,N,,,30259,29.71,0
9,8.000,"Mount",0.301,0.652,0.301,0.652,0.301,0.652,36,E,91,N,,,30296,29.95,0
10,9.000,"Mount",0.480,0.529,0.480,0.529,0.480,0.529,57,E,73,N,,,30333,30.17,0
11,10.000,"Mount",0.507,0.557,0.507,0.557,0.507,0.557,60,E,78,N,,,30370,30.40,0
12,11.000,"Mount",0.820,0.471,0.820,0.471,0.820,0.471,98,E,65,N,,,30407,30.61,0
13,12.000,"Mount",0.649,0.540,0.649,0.540,0.649,0.540,77,E,75,N,,,30444,30.82,0
14,13.000,"Mount",0.620,0.599,0.620,0.599,0.620,0.599,74,E,83,N,,,30481,31.03,0
15,14.000,"Mount",0.775,0.468,0.775,0.468,0.775,0.468,92,E,65,N,,,30518,31.22,0
16,15.000,"Mount",0.694,0.481,0.694,0.481,0.694,0.481,83,E,67,N,,,30555,31.41,0
17,16.000,"Mount",0.573,0.496,0.573,0.496,0.573,0.496,68,E,69,N,,,30592,31.59,0
18,17.000,"Mount",0.360,0.661,0.360,0.661,0.360,0.661,43,E,92,N,,,30629,31.76,0
19,18.000,"Mount",0.502,0.400,0.502,0.400,0.502,0.400,60,E,55,N,,,30666,31.92,0
20,19.000,"Mount",0.199,0.357,0.199,0.357,0.000,0.357,0,,49,N,,,30703,32.07,0
21,20.000,"Mount",0.370,0.182,0.370,0.182,0.370,0.000,44,E,0,,,,30740,32.21,0
22,21.000,"Mount",0.351,0.446,0.351,0.446,0.351,0.446,42,E,62,N,,,30777,32.34,0
23,22.000,"Mount",0.152,0.186,0.152,0.186,0.000,0.000,0,,0,,,,30814,32.46,0
24,23.000,"Mount",0.317,0.061,0.317,0.061,0.317,0.000,38,E,0,,,,30851,32.56,0
25,24.000,"Mount",0.220,0.195,0.220,0.195,0.220,0.000,26,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.344,0.127,0.344,0.127,0.344,0.000,41,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.381,-0.065,0.381,-0.065,0.381,0.000,45,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.301,-0.089,0.301,-0.089,0.301,0.000,36,E,0,,,,30999,32.88,0
29,28.000,"Mount",0.325,-0.173,0.325,-0.173,0.325,0.000,39,E,0,,,,31036,32.93,0
