PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-011"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.204,0.459,-0.204,0.459,-0.204,0.459,24,W,64,N,,,30000,28.00,0
2,1.000,"Mount",0.152,0.500,0.152,0.500,0.000,0.500,0,,69,N,,,30037,28.25,0
3,2.000,"Mount",0.145,0.568,0.145,0.568,0.000,0.568,0,,79,N,,,30074,28.50,0
4,3.000,"Mount",0.122,0.574,0.122,0.574,0.000,0.574,0,,80,N,,,30111,28.75,0
5,4.000,"Mount",0.394,0.491,0.394,0.491,0.394,0.491,47,E,68,N,,,30148,28.99,0
6,5.000,"Mount",0.215,0.715,0.215,0.715,0.215,0.715,25,E,100,N,,,30185,29.24,0
7,6.000,"Mount",0.506,0.651,0.506,0.651,0.506,0.651,60,E,91,N,,,30222,29.48,0
8,7.000,"Mount",0.662,0.698,0.662,0.698,0.662,0.698,79,E,97,N,,,30259,29.71,0
9,8.000,"Mount",0.403,0.749,0.403,0.749,0.403,0.749,48,E,104,N,,,30296,29.95,0
10,9.000,"Mount",0.589,0.677,0.589,0.677,0.589,0.677,70,E,94,N,,,30333,30.17,0
11,10.000,"Mount",0.548,0.569,0.548,0.569,0.548,0.569,65,E,79,N,,,30370,30.40,0
12,11.000,"Mount",0.391,0.758,0.391,0.758,0.391,0.758,46,E,106,N,,,30407,30.61,0
13,12.000,"Mount",0.600,0.688,0.600,0.688,0.600,0.688,72,E,96,N,,,30444,30.82,0
14,13.000,"Mount",0.361,0.674,0.361,0.674,0.361,0.674,43,E,94,N,,,30481,31.03,0
15,14.000,"Mount",0.569,0.427,0.569,0.427,0.569,0.427,68,E,59,N,,,30518,31.22,0
16,15.000,"Mount",0.719,0.559,0.719,0.559,0.719,0.559,86,E,78,N,,,30555,31.41,0
17,16.000,"Mount",0.582,0.569,0.582,0.569,0.582,0.569,69,E,79,N,,,30592,31.59,0
18,17.000,"Mount",0.570,0.500,0.570,0.500,0.570,0.500,68,E,70,N,,,30629,31.76,0
19,18.000,"Mount",0.634,0.218,0.634,0.218,0.634,0.218,76,E,30,N,,,30666,31.92,0
20,19.000,"Mount",0.359,0.264,0.359,0.264,0.359,0.264,43,E,37,N,,,30703,32.07,0
21,20.000,"Mount",0.585,0.224,0.585,0.224,0.585,0.224,70,E,31,N,,,30740,32.21,0
22,21.000,"Mount",0.414,0.274,0.414,0.274,0.414,0.274,49,E,38,N,,,30777,32.34,0
23,22.000,"Mount",0.060,0.235,0.060,0.235,0.000,0.235,0,,32,N,,,30814,32.46,0
24,23.000,"Mount",0.307,0.156,0.307,0.156,0.307,0.000,36,E,0,,,,30851,32.56,0
25,24.000,"Mount",0.229,-0.013,0.229,-0.013,0.229,0.000,27,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.293,0.101,0.293,0.101,0.293,0.000,35,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.396,-0.122,0.396,-0.122,0.396,0.000,47,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.315,-0.136,0.315,-0.136,0.315,0.000,37,E,0,,,,30999,32.88,0
29,28.000,"Mount",0.329,-0.052,0.329,-0.052,0.329,0.000,39,E,0,,,,31036,32.93,0
30,29.000,"Mount",0.481,-0.170,0.481,-0.170,0.481,0.000,57,E,0,,,,31073,32.96,0
31,30.000,"Mount",0.560,-0.262,0.560,-0.262,0.560,-0.262,67,E,36,S,,,31110,32.99,0
32,31.000,"Mount",0.308,-0.345,0.308,-0.345,0.308,-0.345,36,E,48,S,,,31147,33.00,0
