PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-012"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",-0.079,0.624,-0.079,0.624,0.000,0.624,0,,87,N,,,30000,28.00,0
2,1.000,"Mount",0.137,0.489,0.137,0.489,0.000,0.489,0,,68,N,,,30037,28.25,0
3,2.000,"Mount",-0.042,0.516,-0.042,0.516,0.000,0.516,0,,72,N,,,30074,28.50,0
4,3.000,"Mount",0.290,0.582,0.290,0.582,0.290,0.582,34,E,81,N,,,30111,28.75,0
5,4.000,"Mount",0.511,0.736,0.511,0.736,0.511,0.736,61,E,103,N,,,30148,28.99,0
6,5.000,"Mount",0.450,0.709,0.450,0.709,0.450,0.709,53,E,99,N,,,30185,29.24,0
7,6.000,"Mount",0.398,0.566,0.398,0.566,0.398,0.566,47,E,79,N,,,30222,29.48,0
8,7.000,"Mount",0.772,0.785,0.772,0.785,0.772,0.785,92,E,109,N,,,30259,29.71,0
9,8.000,"Mount",0.763,0.617,0.763,0.617,0.763,0.617,91,E,86,N,,,30296,29.95,0
10,9.000,"Mount",0.592,0.582,0.592,0.582,0.592,0.582,71,E,81,N,,,30333,30.17,0
11,10.000,"Mount",0.504,0.637,0.504,0.637,0.504,0.637,60,E,89,N,,,30370,30.40,0
12,11.000,"Mount",0.822,0.434,0.822,0.434,0.822,0.434,98,E,60,N,,,30407,30.61,0
13,12.000,"Mount",0.278,0.526,0.278,0.526,0.278,0.526,33,E,73,N,,,30444,30.82,0
14,13.000,"Mount",0.656,0.694,0.656,0.694,0.656,0.694,78,E,97,N,,,30481,31.03,0
15,14.000,"Mount",0.539,0.428,0.539,0.428,0.539,0.428,64,E,59,N,,,30518,31.22,0
16,15.000,"Mount",0.361,0.502,0.361,0.502,0.361,0.502,43,E,70,N,,,30555,31.41,0
17,16.000,"Mount",0.384,0.564,0.384,0.564,0.384,0.564,46,E,79,N,,,30592,31.59,0
18,17.000,"Mount",0.514,0.359,0.514,0.359,0.514,0.359,61,E,50,N,,,30629,31.76,0
19,18.000,"Mount",0.425,0.155,0.425,0.155,0.425,0.000,51,E,0,,,,30666,31.92,0
20,19.000,"Mount",0.579,0.423,0.579,0.423,0.579,0.423,69,E,59,N,,,30703,32.07,0
21,20.000,"Mount",0.356,0.281,0.356,0.281,0.356,0.281,42,E,39,N,,,30740,32.21,0
22,21.000,"Mount",0.554,0.162,0.554,0.162,0.554,0.000,66,E,0,,,,30777,32.34,0
23,22.000,"Mount",0.337,0.190,0.337,0.190,0.337,0.000,40,E,0,,,,30814,32.46,0
24,23.000,"Mount",0.244,0.200,0.244,0.200,0.244,0.200,29,E,28,N,,,30851,32.56,0
25,24.000,"Mount",0.356,-0.040,0.356,-0.040,0.356,0.000,42,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.314,-0.040,0.314,-0.040,0.314,0.000,37,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.407,-0.119,0.407,-0.119,0.407,0.000,48,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.367,-0.130,0.367,-0.130,0.367,0.000,44,E,0,,,,30999,32.88,0
